Key,M,Lazing,HashFamily,Runs,TimeMean_ms,TimeStd_ms,TimeMedian_ms,IncorrectMean,IncorrectStd,IncorrectRate_%,TimePerOp_us
employee_id,1,False,deterministic,50,2.650425540000083,0.18372294773650277,2.648234499997848,0.0,0.0,0.0,2.650425540000083
employee_id,1,False,random,50,2.841716059998505,0.18604085254768365,2.828826499996606,0.0,0.0,0.0,2.841716059998505
employee_id,1,True,deterministic,50,0.27570364000026437,0.011163084434725783,0.2737210000027801,490.68,13.50652147849251,49.068,0.27570364000026437
employee_id,1,True,random,50,0.3498330400000826,0.013031747557736225,0.3453624999951721,494.4,16.36447122174581,49.44,0.3498330400000826
employee_id,10,False,deterministic,50,0.5569260000004217,0.02208229923198053,0.5597035000015627,0.0,0.0,0.0,0.5569260000004217
employee_id,10,False,random,50,0.7240501800005904,0.15333176237744306,0.6662794999994226,0.02,0.1414213562373095,0.002,0.7240501800005904
employee_id,10,True,deterministic,50,0.2713324599998135,0.008865419999770608,0.26905249999220615,460.6,17.71774159837925,46.06,0.2713324599998135
employee_id,10,True,random,50,0.3461643200003106,0.00855813698815535,0.34576900000327093,463.84,16.099638733429366,46.384,0.3461643200003106
employee_id,100,False,deterministic,50,0.32166853999965994,0.011822578170469725,0.3211155000040211,0.0,0.0,0.0,0.32166853999966
employee_id,100,False,random,50,0.3964154600014247,0.01235448005602298,0.39276900000473347,0.0,0.0,0.0,0.39641546000142464
employee_id,100,True,deterministic,50,0.35886985999962207,0.1341630443687275,0.3188595000018779,289.72,13.790028932499885,28.972000000000005,0.35886985999962207
employee_id,100,True,random,50,0.390168600001326,0.06827085459155924,0.3633244999932117,289.62,17.405007489636034,28.962,0.390168600001326
employee_id,1000,False,deterministic,50,0.3019668399996789,0.011485277375195455,0.2991635000002546,0.0,0.0,0.0,0.3019668399996789
employee_id,1000,False,random,50,0.3830069399992997,0.015423430556527723,0.37809800000321303,0.0,0.0,0.0,0.3830069399992997
employee_id,1000,True,deterministic,50,0.2818866600004366,0.009659034559910466,0.279177500001504,55.0,7.111359122659224,5.5,0.2818866600004366
employee_id,1000,True,random,50,0.36388779999954046,0.017029918266687167,0.35882349999849517,52.28,8.44197481490618,5.228,0.36388779999954046
salary,1,False,deterministic,50,2.6108659599999307,0.16355165686108905,2.6191165000000183,0.14,0.3505098327538656,0.014000000000000002,2.6108659599999307
salary,1,False,random,50,2.7261210400006064,0.18578689301888127,2.7484495000078546,0.28,0.6074369035848372,0.028000000000000004,2.726121040000607
salary,1,True,deterministic,50,0.2719536200007511,0.0069929836359095545,0.27002000000142523,490.9,11.272596354497422,49.09,0.2719536200007511
salary,1,True,random,50,0.3462363600019458,0.011746692954730183,0.3437655000051443,493.98,15.617219695592683,49.398,0.3462363600019458
salary,10,False,deterministic,50,2.6382804399992743,0.16973637328280794,2.650820499990658,0.18,0.5225526045191966,0.018,2.6382804399992743
salary,10,False,random,50,0.6186370400039287,0.022150344757282,0.6186060000055171,0.44,0.9722685444099174,0.044,0.6186370400039287
salary,10,True,deterministic,50,0.27017615999963773,0.008874459889983153,0.2688839999935855,490.66,14.333648153479794,49.066,0.27017615999963773
salary,10,True,random,50,0.3443180399993917,0.008027111411063907,0.34160799999050084,454.0,14.023304219209168,45.4,0.3443180399993917
salary,100,False,deterministic,50,2.578955660000837,0.22302996295301258,2.5763290000027084,0.22,0.464670170494017,0.022,2.578955660000837
salary,100,False,random,50,0.3884968399975719,0.0047804313511039115,0.3886744999959113,0.38,1.0669429914193052,0.038,0.3884968399975719
salary,100,True,deterministic,50,0.26293903999899726,0.008107568860514768,0.2611429999799242,492.66,19.16907586159946,49.266,0.26293903999899726
salary,100,True,random,50,0.34879514000085265,0.00496205983073058,0.34897799999189516,284.04,15.437775032665288,28.404000000000003,0.34879514000085265
salary,1000,False,deterministic,50,2.6263961800011155,0.14683107994381053,2.5979609999935427,0.3,0.7889543583705186,0.03,2.6263961800011155
salary,1000,False,random,50,0.36946768000126085,0.005096069303234413,0.36951849998345665,0.24,0.656521445318632,0.024,0.3694676800012609
salary,1000,True,deterministic,50,0.2648092999974949,0.011125117859441468,0.26170950000814486,494.56,13.591954402873641,49.456,0.2648092999974949
salary,1000,True,random,50,0.3508781200013722,0.005348846260090777,0.3507975000061059,52.5,16.65526821109986,5.25,0.35087812000137214
